feeder_id,feeder_institution
12,UNIVERSITY OF BELIZE
13,*UNKNOWN
30,UNIVERSITY COLLEGE OF BELIZE
10,ST. JOHN'S COLLEGE JUNIOR COLLEGE
51,MUFFLES JUNIOR COLLEGE
11,ST. JOHN'S COLLEGE
22,BELIZE COLLEGE OF AGRICULTURE
25,BELIZE TECHNICAL COLLEGE
79,SACRED HEART JUNIOR COLLEGE
33,STANN CREEK ECUMENICAL HIGH SC
58,UNIVERSITY OF THE WEST INDIES
7,COROZAL JUNIOR COLLEGE
27,BELMOPAN JUNIOR COLLEGE
20,BELMOPAN COMPREHENSIVE SCHOOL
36,
40,FOREIGN
28,BELIZE ADVENTIST COLLEGE
45,WESLEY JUNIOR COLLEGE
72,SACRED HEART COLLEGE
32,BELIZE ADVENTIST JUNIOR COLLEGE
71,STANN CREEK ECUMENICAL JR. COLLEGE
21,ST. CATHERINE ACADEMY
6,ESCUELA MEXICO JR COLLEGE
18,EDWARD P. YORKE
49,INDEPENDENCE JUNIOR COLLEGE
84,ADULT & CONTINUING EDUCATION
38,BELIZE CHRISTIAN ACADEMY
26,LADYVILLE TECHNICAL HIGH
63,OUR LADY OF GUADALUPE HIGH SCH
67,EDEN SDA HIGH
2,MOPAN TECHNICAL HIGH SCHOOL
48,TOLEDO COMMUNITY COLLEGE
47,
37,
42,
56,
66,
17,
9,
85,
61,
44,
29,
39,
86,
50,
73,
